,Company,Industry,Country,Market_Value,Sales,Profits,Assets,Rank,DBpedia_URI,Market_Value_class,Sales_class,Profits_class,Assets_class,Rank_class
362,Hellenic_Petroleum,Oil_&_Gas_Operations,Greece,3.3,13.8,0.1,9.7,1688,http://dbpedia.org/resource/Hellenic_Petroleum,low,mid,low,mid,high
363,Motor_Oil,Oil_&_Gas_Operations,Greece,1.2,12.8,0.1,3.4,1920,http://dbpedia.org/resource/Motor_Oil,low,mid,low,mid,high
364,National_Bank_of_Greece,Major_Banks,Greece,1.0,10.4,-16.0,137.0,1089,http://dbpedia.org/resource/National_Bank_of_Greece,low,mid,low,mid,mid
365,OPAP,Casinos_&_Gaming,Greece,2.8,5.2,0.7,2.3,1709,http://dbpedia.org/resource/OPAP,low,low,mid,mid,high
366,Piraeus_Bank,Regional_Banks,Greece,0.3,3.9,-8.6,62.5,1660,http://dbpedia.org/resource/Piraeus_Bank,low,low,low,mid,high
367,Bank_of_East_Asia,Regional_Banks,Hong_Kong-China,9.0,3.7,0.8,89.3,801,http://dbpedia.org/resource/Bank_of_East_Asia,low,low,mid,mid,mid
368,Beijing_Enterprises,Natural_Gas_Utilities,Hong_Kong-China,8.6,4.6,0.4,11.5,1329,http://dbpedia.org/resource/Beijing_Enterprises,low,low,mid,mid,high
369,Belle_International_Holdings,Apparel/Footwear_Retail,Hong_Kong-China,15.3,5.2,0.7,4.6,1081,http://dbpedia.org/resource/Belle_International_Holdings,mid,low,mid,mid,mid
370,Cathay_Pacific_Airways,Airline,Hong_Kong-China,7.1,12.6,0.1,20.5,1082,http://dbpedia.org/resource/Cathay_Pacific_Airways,low,mid,low,mid,mid
371,Cheung_Kong_Holdings,Real_Estate,Hong_Kong-China,33.7,2.5,4.1,49.4,523,http://dbpedia.org/resource/Cheung_Kong_Holdings,mid,low,high,mid,low
372,China_Agri-Industries,Diversified_Chemicals,Hong_Kong-China,2.9,11.8,0.2,9.6,1764,http://dbpedia.org/resource/China_Agri-Industries,low,mid,mid,mid,high
373,China_Merchants_Holdings,Other_Transportation,Hong_Kong-China,8.6,1.4,0.5,10.0,1419,http://dbpedia.org/resource/China_Merchants_Holdings,low,low,mid,mid,high
374,China_Mobile,Telecommunications_services,Hong_Kong-China,213.8,88.8,20.5,168.7,29,http://dbpedia.org/resource/China_Mobile,high,high,high,mid,low
375,China_Resources_Enterprise,Specialty_Stores,Hong_Kong-China,7.6,16.3,0.5,16.4,800,http://dbpedia.org/resource/China_Resources_Enterprise,low,mid,mid,mid,mid
376,China_Resources_Land,Real_Estate,Hong_Kong-China,14.6,5.7,1.4,29.4,637,http://dbpedia.org/resource/China_Resources_Land,mid,low,mid,mid,low
377,China_Resources_Power,Electric_Utilities,Hong_Kong-China,12.4,8.1,1.0,22.9,657,http://dbpedia.org/resource/China_Resources_Power,mid,low,mid,mid,low
378,China_Taiping_Insurance,Diversified_Insurance,Hong_Kong-China,3.1,8.1,0.1,31.3,1387,http://dbpedia.org/resource/China_Taiping_Insurance,low,low,low,mid,high
379,China_Unicom,Telecommunications_services,Hong_Kong-China,32.4,39.5,1.1,82.8,217,http://dbpedia.org/resource/China_Unicom,mid,high,mid,mid,low
380,Citic_Pacific,Iron_&_Steel,Hong_Kong-China,4.7,12.0,0.9,31.9,789,http://dbpedia.org/resource/Citic_Pacific,low,mid,mid,mid,mid
381,CLP_Holdings,Electric_Utilities,Hong_Kong-China,21.7,13.5,1.1,29.4,437,http://dbpedia.org/resource/CLP_Holdings,mid,mid,mid,mid,low
382,Cnooc,Oil_&_Gas_Operations,Hong_Kong-China,84.3,39.2,10.1,73.2,111,http://dbpedia.org/resource/Cnooc,high,high,high,mid,low
383,First_Pacific,Investment_Services,Hong_Kong-China,5.3,6.0,0.3,13.9,1424,http://dbpedia.org/resource/First_Pacific,low,low,mid,mid,high
384,Galaxy_Entertainment,Casinos_&_Gaming,Hong_Kong-China,16.7,7.3,1.0,5.7,891,http://dbpedia.org/resource/Galaxy_Entertainment,mid,low,mid,mid,mid
385,Hang_Lung_Group,Real_Estate,Hong_Kong-China,7.9,1.0,0.7,23.6,1041,http://dbpedia.org/resource/Hang_Lung_Group,low,low,mid,mid,mid
386,Henderson_Land,Real_Estate,Hong_Kong-China,15.1,2.0,2.6,33.9,675,http://dbpedia.org/resource/Henderson_Land,mid,low,mid,mid,low
387,Hutchison_Whampoa,Conglomerates,Hong_Kong-China,45.1,31.3,3.4,103.7,137,http://dbpedia.org/resource/Hutchison_Whampoa,high,mid,high,mid,low
388,Hysan_Development,Real_Estate,Hong_Kong-China,5.2,0.3,1.3,8.8,1463,http://dbpedia.org/resource/Hysan_Development,low,low,mid,mid,high
389,Jardine_Matheson,Conglomerates,Hong_Kong-China,43.3,39.6,1.7,63.5,185,http://dbpedia.org/resource/Jardine_Matheson,high,high,mid,mid,low
390,Li_&_Fung,Trading_Companies,Hong_Kong-China,11.5,20.2,0.6,12.0,716,http://dbpedia.org/resource/Li_&_Fung,mid,mid,mid,mid,low
391,MTR,Railroads,Hong_Kong-China,23.0,4.6,1.7,26.7,627,http://dbpedia.org/resource/MTR,mid,low,mid,mid,low
392,New_World_Development,Real_Estate,Hong_Kong-China,10.7,4.6,1.3,36.8,724,http://dbpedia.org/resource/New_World_Development,mid,low,mid,mid,low
393,Noble_Group,Conglomerates,Hong_Kong-China,6.2,94.0,0.5,19.7,713,http://dbpedia.org/resource/Noble_Group,low,high,mid,mid,low
394,Power_Assets_Holdings,Electric_Utilities,Hong_Kong-China,19.5,1.3,1.3,13.1,871,http://dbpedia.org/resource/Power_Assets_Holdings,mid,low,mid,mid,mid
395,Shanghai_Industrial,Real_Estate,Hong_Kong-China,3.3,2.5,0.4,14.9,1714,http://dbpedia.org/resource/Shanghai_Industrial,low,low,mid,mid,high
396,Sino_Land,Real_Estate,Hong_Kong-China,3.9,1.1,0.6,14.7,1534,http://dbpedia.org/resource/Sino_Land,low,low,mid,mid,high
397,Sun_Hung_Kai_Properties,Real_Estate,Hong_Kong-China,36.4,8.8,5.6,60.3,307,http://dbpedia.org/resource/Sun_Hung_Kai_Properties,high,low,high,mid,low
398,Swire_Pacific,Conglomerates,Hong_Kong-China,18.8,5.7,2.3,41.5,517,http://dbpedia.org/resource/Swire_Pacific,mid,low,mid,mid,low
399,TPV_Technology,Computer_Storage_Devices,Hong_Kong-China,0.8,12.0,0.1,6.9,1959,http://dbpedia.org/resource/TPV_Technology,low,mid,low,mid,high
400,Wheelock_&_Co,Real_Estate,Hong_Kong-China,10.0,4.3,3.5,49.4,661,http://dbpedia.org/resource/Wheelock_&_Co,mid,low,high,mid,low
401,Wing_Hang_Bank,Regional_Banks,Hong_Kong-China,3.2,0.9,0.2,25.5,1986,http://dbpedia.org/resource/Wing_Hang_Bank,low,low,mid,mid,high
402,OTP_Bank,Regional_Banks,Hungary,5.6,6.6,0.5,45.8,905,http://dbpedia.org/resource/OTP_Bank,low,low,mid,mid,mid
403,Adani_Enterprises,Trading_Companies,India,4.9,7.7,0.4,21.0,1183,http://dbpedia.org/resource/Adani_Enterprises,low,low,mid,mid,high
404,Allahabad_Bank,Regional_Banks,India,1.3,3.3,0.4,36.0,1466,http://dbpedia.org/resource/Allahabad_Bank,low,low,mid,mid,high
405,Andhra_Bank,Regional_Banks,India,1.0,2.5,0.3,24.7,1878,http://dbpedia.org/resource/Andhra_Bank,low,low,mid,mid,high
406,Axis_Bank,Regional_Banks,India,11.6,5.3,0.8,55.8,678,http://dbpedia.org/resource/Axis_Bank,mid,low,mid,mid,low
407,Bajaj_Auto,Recreational_Products,India,9.9,3.7,0.6,2.2,1416,http://dbpedia.org/resource/Bajaj_Auto,low,low,mid,mid,high
408,Bank_of_Baroda,Regional_Banks,India,5.5,6.8,1.0,89.8,727,http://dbpedia.org/resource/Bank_of_Baroda,low,low,mid,mid,low
409,Bank_of_India,Regional_Banks,India,3.4,6.3,0.5,76.1,973,http://dbpedia.org/resource/Bank_of_India,low,low,mid,mid,mid
410,Bharat_Heavy_Electricals,Electrical_Equipment,India,9.0,9.4,1.4,12.9,770,http://dbpedia.org/resource/Bharat_Heavy_Electricals,low,mid,mid,mid,mid
411,Bharat_Petroleum,Oil_&_Gas_Operations,India,5.4,36.7,0.2,15.3,1112,http://dbpedia.org/resource/Bharat_Petroleum,low,high,mid,mid,mid
412,Bharti_Airtel,Telecommunications_services,India,21.8,14.0,0.8,29.8,456,http://dbpedia.org/resource/Bharti_Airtel,mid,mid,mid,mid,low
413,Canara_Bank,Major_Banks,India,3.5,6.7,0.7,74.4,920,http://dbpedia.org/resource/Canara_Bank,low,low,mid,mid,mid
414,Central_Bank_of_India,Regional_Banks,India,1.0,4.0,0.1,45.2,1708,http://dbpedia.org/resource/Central_Bank_of_India,low,low,low,mid,high
415,Coal_India,Diversified_Metals_&_Mining,India,37.4,12.3,2.9,20.8,377,http://dbpedia.org/resource/Coal_India,high,mid,high,mid,low
416,Corporation_Bank,Regional_Banks,India,1.1,2.9,0.3,32.1,1656,http://dbpedia.org/resource/Corporation_Bank,low,low,mid,mid,high
417,DLF,Real_Estate,India,8.6,1.9,0.2,12.4,1775,http://dbpedia.org/resource/DLF,low,low,mid,mid,high
418,GAIL_India,Natural_Gas_Utilities,India,7.6,8.7,0.9,10.0,962,http://dbpedia.org/resource/GAIL_India,low,low,mid,mid,mid
419,Grasim_Industries,Construction_Materials,India,5.0,4.9,0.5,7.2,1720,http://dbpedia.org/resource/Grasim_Industries,low,low,mid,mid,high
420,HCL_Technologies,Software_&_Programming,India,10.2,3.8,0.4,3.2,1534,http://dbpedia.org/resource/HCL_Technologies,mid,low,mid,mid,high
421,HDFC,Consumer_Financial_Services,India,23.3,5.9,1.1,41.6,561,http://dbpedia.org/resource/HDFC,mid,low,mid,mid,low
422,HDFC_Bank,Regional_Banks,India,28.1,6.5,1.0,66.7,463,http://dbpedia.org/resource/HDFC_Bank,mid,low,mid,mid,low
423,Hero_MotoCorp,Recreational_Products,India,6.2,4.6,0.5,1.9,1674,http://dbpedia.org/resource/Hero_MotoCorp,low,low,mid,mid,high
424,Hindalco_Industries,Aluminum,India,3.4,15.8,0.7,19.9,895,http://dbpedia.org/resource/Hindalco_Industries,low,mid,mid,mid,mid
425,Hindustan_Petroleum,Oil_&_Gas_Operations,India,1.9,32.6,0.0,16.8,1217,http://dbpedia.org/resource/Hindustan_Petroleum,low,mid,low,mid,high
426,IDBI_Bank,Regional_Banks,India,2.1,5.0,0.4,56.9,1197,http://dbpedia.org/resource/IDBI_Bank,low,low,mid,mid,high
427,Indian_Bank,Regional_Banks,India,1.4,2.6,0.3,27.5,1581,http://dbpedia.org/resource/Indian_Bank,low,low,mid,mid,high
428,Indian_Oil,Oil_&_Gas_Operations,India,14.2,70.8,0.8,43.2,350,http://dbpedia.org/resource/Indian_Oil,mid,high,mid,mid,low
429,Indian_Overseas_Bank,Regional_Banks,India,1.0,3.9,0.2,43.1,1749,http://dbpedia.org/resource/Indian_Overseas_Bank,low,low,mid,mid,high
430,Infosys,Computer_Services,India,30.5,6.6,1.6,7.5,788,http://dbpedia.org/resource/Infosys,mid,low,mid,mid,mid
431,ITC,Tobacco,India,44.1,5.2,1.2,5.9,841,http://dbpedia.org/resource/ITC,high,low,mid,mid,mid
432,Jindal_Steel_&_Power,Iron_&_Steel,India,6.2,3.6,0.8,8.8,1497,http://dbpedia.org/resource/Jindal_Steel_&_Power,low,low,mid,mid,high
433,Kotak_Mahindra_Bank,Regional_Banks,India,9.2,2.6,0.4,18.1,1266,http://dbpedia.org/resource/Kotak_Mahindra_Bank,low,low,mid,mid,high
434,Larsen_&_Toubro,Construction_Services,India,17.2,12.6,0.9,23.8,527,http://dbpedia.org/resource/Larsen_&_Toubro,mid,mid,mid,mid,low
435,Mahindra_&_Mahindra,Auto_&_Truck_Manufacturers,India,10.5,10.9,0.6,12.5,816,http://dbpedia.org/resource/Mahindra_&_Mahindra,mid,mid,mid,mid,mid
436,NHPC,Electric_Utilities,India,4.6,1.4,0.6,11.8,1620,http://dbpedia.org/resource/NHPC,low,low,mid,mid,high
437,NMDC,Diversified_Metals_&_Mining,India,10.6,2.2,1.4,6.9,1174,http://dbpedia.org/resource/NMDC,mid,low,mid,mid,high
438,NTPC,Electric_Utilities,India,22.3,12.8,1.9,30.5,384,http://dbpedia.org/resource/NTPC,mid,mid,mid,mid,low
439,Oil_India,Oil_&_Gas_Operations,India,6.1,1.9,0.7,4.5,1638,http://dbpedia.org/resource/Oil_India,low,low,mid,mid,high
440,Oriental_Bank_of_Commerce,Regional_Banks,India,1.5,3.4,0.2,35.0,1827,http://dbpedia.org/resource/Oriental_Bank_of_Commerce,low,low,mid,mid,high
441,Punjab_National_Bank,Regional_Banks,India,5.0,8.2,1.0,92.3,717,http://dbpedia.org/resource/Punjab_National_Bank,low,low,mid,mid,low
442,Reliance_Industries,Oil_&_Gas_Operations,India,50.4,70.3,3.9,64.2,121,http://dbpedia.org/resource/Reliance_Industries,high,high,high,mid,low
443,Reliance_Infrastructure,Electric_Utilities,India,2.0,4.7,0.3,12.1,1984,http://dbpedia.org/resource/Reliance_Infrastructure,low,low,mid,mid,high
444,Rural_Electrification,Investment_Services,India,4.1,2.1,0.6,21.7,1429,http://dbpedia.org/resource/Rural_Electrification,low,low,mid,mid,high
445,State_Bank_of_India,Regional_Banks,India,28.1,35.1,3.0,359.1,136,http://dbpedia.org/resource/State_Bank_of_India,mid,high,high,high,low
446,Steel_Authority_of_India,Iron_&_Steel,India,5.3,9.0,0.7,15.4,985,http://dbpedia.org/resource/Steel_Authority_of_India,low,low,mid,mid,mid
447,Syndicate_Bank,Regional_Banks,India,1.3,3.2,0.3,35.8,1729,http://dbpedia.org/resource/Syndicate_Bank,low,low,mid,mid,high
448,Tata_Consultancy_Services,Computer_Services,India,56.9,9.6,2.0,8.1,636,http://dbpedia.org/resource/Tata_Consultancy_Services,high,mid,mid,mid,low
449,Tata_Motors,Auto_&_Truck_Manufacturers,India,15.9,32.6,2.7,27.6,334,http://dbpedia.org/resource/Tata_Motors,mid,mid,high,mid,low
450,Tata_Steel,Iron_&_Steel,India,6.4,26.1,1.0,28.8,590,http://dbpedia.org/resource/Tata_Steel,low,mid,mid,mid,low
451,UCO_Bank,Regional_Banks,India,0.7,3.1,0.2,35.4,1818,http://dbpedia.org/resource/UCO_Bank,low,low,mid,mid,high
452,Union_Bank_of_India,Regional_Banks,India,2.4,4.6,0.3,51.7,1320,http://dbpedia.org/resource/Union_Bank_of_India,low,low,mid,mid,high
453,Wipro,Computer_Services,India,20.1,7.3,1.1,8.5,812,http://dbpedia.org/resource/Wipro,mid,low,mid,mid,mid
454,Bank_Central_Asia,Regional_Banks,Indonesia,27.1,4.0,1.2,46.0,613,http://dbpedia.org/resource/Bank_Central_Asia,mid,low,mid,mid,low
455,Bank_Mandiri,Regional_Banks,Indonesia,24.0,6.3,1.6,65.5,446,http://dbpedia.org/resource/Bank_Mandiri,mid,low,mid,mid,low
456,Bank_Negara_Indonesia,Regional_Banks,Indonesia,9.0,3.2,0.7,34.6,922,http://dbpedia.org/resource/Bank_Negara_Indonesia,low,low,mid,mid,mid
457,Bank_Rakyat_Indonesia,Regional_Banks,Indonesia,22.4,6.0,1.9,57.0,461,http://dbpedia.org/resource/Bank_Rakyat_Indonesia,mid,low,mid,mid,low
458,Gudang_Garam,Tobacco,Indonesia,9.8,5.2,0.4,4.3,1378,http://dbpedia.org/resource/Gudang_Garam,low,low,mid,mid,high
459,PGN,Natural_Gas_Utilities,Indonesia,13.5,2.6,0.9,3.9,1188,http://dbpedia.org/resource/PGN,mid,low,mid,mid,high
460,Semen_Indonesia,Construction_Materials,Indonesia,11.2,2.1,0.5,2.8,1425,http://dbpedia.org/resource/Semen_Indonesia,mid,low,mid,mid,high
461,Accenture,Computer_Services,Ireland,53.3,30.1,3.1,16.4,318,http://dbpedia.org/resource/Accenture,high,mid,high,mid,low
462,Allied_Irish_Banks,Regional_Banks,Ireland,50.0,4.6,-4.8,161.5,808,http://dbpedia.org/resource/Allied_Irish_Banks,high,low,low,mid,mid
463,Bank_of_Ireland,Major_Banks,Ireland,6.0,8.2,-2.4,195.3,992,http://dbpedia.org/resource/Bank_of_Ireland,low,low,low,high,mid
464,Covidien,Medical_Equipment_&_Supplies,Ireland,30.9,12.0,1.9,22.0,417,http://dbpedia.org/resource/Covidien,mid,mid,mid,mid,low
465,CRH,Construction_Materials,Ireland,16.7,24.6,0.7,27.6,454,http://dbpedia.org/resource/CRH,mid,mid,mid,mid,low
466,DCC,Conglomerates,Ireland,2.8,14.3,0.1,5.0,1843,http://dbpedia.org/resource/DCC,low,mid,low,mid,high
467,Eaton,Other_Industrial_Equipment,Ireland,29.5,16.3,1.2,35.8,347,http://dbpedia.org/resource/Eaton,mid,mid,mid,mid,low
468,Experian,Business_&_Personal_Services,Ireland,18.0,4.5,0.7,7.8,1121,http://dbpedia.org/resource/Experian,mid,low,mid,mid,mid
469,Ingersoll-Rand,Conglomerates,Ireland,16.4,14.0,1.0,18.5,541,http://dbpedia.org/resource/Ingersoll-Rand,mid,mid,mid,mid,low
470,James_Hardie_Industries,Construction_Materials,Ireland,4.7,1.2,0.6,1.9,1959,http://dbpedia.org/resource/James_Hardie_Industries,low,low,mid,mid,high
471,Kerry_Group,Food_Processing,Ireland,9.8,7.7,0.4,7.0,1286,http://dbpedia.org/resource/Kerry_Group,low,low,mid,mid,high
472,Ryanair_Holdings,Airline,Ireland,10.7,5.8,0.7,12.0,959,http://dbpedia.org/resource/Ryanair_Holdings,mid,low,mid,mid,mid
473,Seagate_Technology,Computer_Storage_Devices,Ireland,12.7,16.3,3.2,8.7,641,http://dbpedia.org/resource/Seagate_Technology,mid,mid,high,mid,low
474,Shire,Pharmaceuticals,Ireland,17.2,4.6,0.7,7.3,1096,http://dbpedia.org/resource/Shire,mid,low,mid,mid,mid
475,Smurfit_Kappa_Group,Paper_&_Paper_Products,Ireland,3.7,9.7,0.3,10.9,1512,http://dbpedia.org/resource/Smurfit_Kappa_Group,low,mid,mid,mid,high
476,XL_Group,Diversified_Insurance,Ireland,9.0,7.2,0.7,45.4,709,http://dbpedia.org/resource/XL_Group,low,low,mid,mid,low
477,Bank_Hapoalim,Major_Banks,Israel,5.9,5.1,0.7,100.8,845,http://dbpedia.org/resource/Bank_Hapoalim,low,low,mid,mid,mid
478,Bank_Leumi,Major_Banks,Israel,5.1,4.7,0.2,100.7,1306,http://dbpedia.org/resource/Bank_Leumi,low,low,mid,mid,high
479,Delek_Group,Investment_Services,Israel,3.0,18.6,0.1,30.7,1124,http://dbpedia.org/resource/Delek_Group,low,mid,low,mid,mid
480,Israel_Corp,Investment_Services,Israel,5.7,11.5,-0.1,15.7,1309,http://dbpedia.org/resource/Israel_Corp,low,mid,low,mid,high
481,Israel_Discount_Bank,Regional_Banks,Israel,1.9,2.9,0.2,53.8,1692,http://dbpedia.org/resource/Israel_Discount_Bank,low,low,mid,mid,high
482,A2A,Electric_Utilities,Italy,1.9,8.1,0.3,15.8,1399,http://dbpedia.org/resource/A2A,low,low,mid,mid,high
483,Atlantia,Other_Transportation,Italy,10.6,4.4,1.0,40.1,756,http://dbpedia.org/resource/Atlantia,mid,low,mid,mid,mid
484,Banca_Carige,Thrifts_&_Mortgage_Finance,Italy,1.8,2.0,-0.1,65.1,1650,http://dbpedia.org/resource/Banca_Carige,low,low,low,mid,high
485,Banca_MPS,Major_Banks,Italy,3.2,12.1,-4.1,288.9,1024,http://dbpedia.org/resource/Banca_MPS,low,mid,low,high,mid
486,Banco_Popolare,Regional_Banks,Italy,2.6,7.8,-2.9,169.9,1166,http://dbpedia.org/resource/Banco_Popolare,low,low,low,mid,high
487,ENEL,Electric_Utilities,Italy,32.2,111.9,1.1,226.3,145,http://dbpedia.org/resource/ENEL,mid,high,mid,high,low
488,ENI,Oil_&_Gas_Operations,Italy,86.3,163.7,10.0,185.2,30,http://dbpedia.org/resource/ENI,high,high,high,high,low
489,Finmeccanica,Aerospace_&_Defense,Italy,3.0,22.4,-3.0,38.4,1068,http://dbpedia.org/resource/Finmeccanica,low,mid,low,mid,mid
490,Generali_Group,Diversified_Insurance,Italy,26.0,116.7,0.1,582.4,436,http://dbpedia.org/resource/Generali_Group,mid,high,low,high,low
491,Intesa_Sanpaolo,Major_Banks,Italy,26.4,47.7,-10.6,813.8,459,http://dbpedia.org/resource/Intesa_Sanpaolo,mid,high,low,high,low
492,Luxottica_Group,Specialty_Stores,Italy,23.7,9.3,0.7,10.9,729,http://dbpedia.org/resource/Luxottica_Group,mid,mid,mid,mid,low
493,Mediobanca,Regional_Banks,Italy,5.1,5.0,0.1,98.9,1298,http://dbpedia.org/resource/Mediobanca,low,low,low,mid,high
494,Mediolanum,Life_&_Health_Insurance,Italy,4.5,15.0,0.1,43.7,1085,http://dbpedia.org/resource/Mediolanum,low,mid,low,mid,mid
495,Prada,Apparel/Accessories,Italy,25.8,3.3,0.6,3.6,1172,http://dbpedia.org/resource/Prada,mid,low,mid,mid,high
496,Prysmian,Electrical_Equipment,Italy,4.9,10.1,0.2,7.9,1881,http://dbpedia.org/resource/Prysmian,low,mid,mid,mid,high
497,Saras,Oil_&_Gas_Operations,Italy,1.1,15.7,-0.1,5.2,1794,http://dbpedia.org/resource/Saras,low,mid,low,mid,high
498,Telecom_Italia,Telecommunications_services,Italy,15.2,37.9,-2.1,102.3,586,http://dbpedia.org/resource/Telecom_Italia,mid,high,low,mid,low
499,Terna,Electric_Utilities,Italy,8.3,2.3,0.6,18.6,1105,http://dbpedia.org/resource/Terna,low,low,mid,mid,mid
500,UBI_Banca,Regional_Banks,Italy,3.7,7.4,0.1,174.8,1183,http://dbpedia.org/resource/UBI_Banca,low,low,low,high,high
501,UniCredit_Group,Major_Banks,Italy,29.0,54.2,1.1,1221.9,154,http://dbpedia.org/resource/UniCredit_Group,mid,high,mid,high,low
502,77_Bank,Regional_Banks,Japan,2.0,1.4,0.1,92.2,1588,http://dbpedia.org/resource/77_Bank,low,low,low,mid,high
503,Aeon,Discount_Stores,Japan,8.9,64.1,0.8,49.1,423,http://dbpedia.org/resource/Aeon,low,high,mid,mid,low
504,Aichi_Bank,Regional_Banks,Japan,0.6,0.6,0.0,33.5,1851,http://dbpedia.org/resource/Aichi_Bank,low,low,low,mid,high
505,Aisin_Seiki,Auto_&_Truck_Parts,Japan,10.6,27.8,0.7,24.7,552,http://dbpedia.org/resource/Aisin_Seiki,mid,mid,mid,mid,low
506,Ajinomoto,Food_Processing,Japan,8.7,14.5,0.5,13.2,830,http://dbpedia.org/resource/Ajinomoto,low,mid,mid,mid,mid
507,Akita_Bank,Regional_Banks,Japan,0.5,0.6,0.0,31.6,1878,http://dbpedia.org/resource/Akita_Bank,low,low,low,mid,high
508,All_Nippon_Airways,Airline,Japan,7.8,17.1,0.3,23.5,814,http://dbpedia.org/resource/All_Nippon_Airways,low,mid,mid,mid,mid
509,Aomori_Bank,Regional_Banks,Japan,0.7,0.5,0.0,29.8,1907,http://dbpedia.org/resource/Aomori_Bank,low,low,low,mid,high
510,Aozora_Bank,Major_Banks,Japan,5.1,1.6,0.6,61.3,1093,http://dbpedia.org/resource/Aozora_Bank,low,low,mid,mid,mid
511,Asahi_Glass,Construction_Materials,Japan,7.8,14.9,0.5,21.9,739,http://dbpedia.org/resource/Asahi_Glass,low,mid,mid,mid,low
512,Asahi_Kasei,Diversified_Chemicals,Japan,9.2,19.0,0.7,16.9,672,http://dbpedia.org/resource/Asahi_Kasei,low,mid,mid,mid,low
513,Astellas_Pharma,Pharmaceuticals,Japan,25.9,11.7,0.9,16.6,553,http://dbpedia.org/resource/Astellas_Pharma,mid,mid,mid,mid,low
514,Bank_of_Iwate,Regional_Banks,Japan,0.8,0.5,0.1,38.6,1790,http://dbpedia.org/resource/Bank_of_Iwate,low,low,low,mid,high
515,Bank_of_Yokohama,Major_Banks,Japan,7.1,3.6,0.6,155.1,884,http://dbpedia.org/resource/Bank_of_Yokohama,low,low,mid,mid,mid
516,Bridgestone,Auto_&_Truck_Parts,Japan,27.4,38.1,2.2,35.1,248,http://dbpedia.org/resource/Bridgestone,mid,high,mid,mid,low
517,Calsonic_Kansei,Auto_&_Truck_Parts,Japan,1.2,9.4,0.3,4.1,1856,http://dbpedia.org/resource/Calsonic_Kansei,low,mid,mid,mid,high
518,Canon,Business_Products_&_Supplies,Japan,41.9,40.1,2.6,45.7,181,http://dbpedia.org/resource/Canon,high,high,mid,mid,low
519,Central_Japan_Railway,Railroads,Japan,20.6,18.2,1.6,61.3,302,http://dbpedia.org/resource/Central_Japan_Railway,mid,mid,mid,mid,low
520,Chiba_Bank,Major_Banks,Japan,6.0,2.4,0.5,132.2,1004,http://dbpedia.org/resource/Chiba_Bank,low,low,mid,mid,mid
521,Chubu_Electric_Power,Electric_Utilities,Japan,9.0,29.6,-1.1,65.8,722,http://dbpedia.org/resource/Chubu_Electric_Power,low,mid,low,mid,low
522,Chugoku_Electric_Power,Electric_Utilities,Japan,4.4,14.3,0.0,34.2,1149,http://dbpedia.org/resource/Chugoku_Electric_Power,low,mid,low,mid,high
523,Cosmo_Oil,Oil_&_Gas_Operations,Japan,1.8,37.6,-0.1,20.0,1140,http://dbpedia.org/resource/Cosmo_Oil,low,high,low,mid,high
524,Credit_Saison,Consumer_Financial_Services,Japan,4.6,4.3,0.1,25.3,1784,http://dbpedia.org/resource/Credit_Saison,low,low,low,mid,high
525,Dai_Nippon_Printing,Printing_&_Publishing,Japan,6.4,18.2,-0.2,19.1,1061,http://dbpedia.org/resource/Dai_Nippon_Printing,low,mid,low,mid,mid
526,Daiichi_Sankyo,Pharmaceuticals,Japan,13.9,11.3,0.1,17.9,948,http://dbpedia.org/resource/Daiichi_Sankyo,mid,mid,low,mid,mid
527,Daikin_Industries,Construction_Materials,Japan,12.5,14.7,0.5,14.0,744,http://dbpedia.org/resource/Daikin_Industries,mid,mid,mid,mid,low
528,Daiwa_House_Industry,Construction_Services,Japan,11.5,22.3,0.4,24.0,662,http://dbpedia.org/resource/Daiwa_House_Industry,mid,mid,mid,mid,low
529,Daiwa_Securities,Investment_Services,Japan,12.0,5.1,-0.5,229.9,933,http://dbpedia.org/resource/Daiwa_Securities,mid,low,low,high,mid
530,Denso,Auto_&_Truck_Parts,Japan,34.9,38.1,1.1,43.2,264,http://dbpedia.org/resource/Denso,high,high,mid,mid,low
531,Dentsu,Advertising,Japan,8.0,22.9,0.4,14.3,873,http://dbpedia.org/resource/Dentsu,low,mid,mid,mid,mid
532,East_Japan_Railway,Railroads,Japan,32.5,30.6,1.3,82.9,220,http://dbpedia.org/resource/East_Japan_Railway,mid,mid,mid,mid,low
533,Eisai,Pharmaceuticals,Japan,13.0,7.8,0.7,11.7,840,http://dbpedia.org/resource/Eisai,mid,low,mid,mid,mid
534,Fanuc,Other_Industrial_Equipment,Japan,29.7,6.5,1.7,13.7,637,http://dbpedia.org/resource/Fanuc,mid,low,mid,mid,low
535,Fast_Retailing,Apparel/Footwear_Retail,Japan,32.6,11.8,0.9,7.5,713,http://dbpedia.org/resource/Fast_Retailing,mid,mid,mid,mid,low
536,Fuji_Electric,Electrical_Equipment,Japan,2.1,8.5,0.1,9.6,1975,http://dbpedia.org/resource/Fuji_Electric,low,low,low,mid,high
537,Fuji_Heavy_Industries,Auto_&_Truck_Manufacturers,Japan,12.9,18.3,0.5,16.4,683,http://dbpedia.org/resource/Fuji_Heavy_Industries,mid,mid,mid,mid,low
538,Fujitsu,Computer_Hardware,Japan,9.2,54.0,0.5,35.0,537,http://dbpedia.org/resource/Fujitsu,low,high,mid,mid,low
